cod,texto
i1,Herramienta necesaria niños desarrollar habilidades actitudes conocimientos útiles vida cotidiana su contexto
i2,lecto-escritura alumnos comunicar deseos sentimientos estados ánimo necesidades leer adquieren diversos conocimientos almacenando comprender entender cómo funciona mundo rodea desempeñar trabajo
i3,importancia lecto-escritura lograr alumnos manifestar escrita resolver problemas cotidianos desarrollen habilidades base contexto.
i4,base comunicación humana transmitir todos nuestras necesidades sentimientos descubrimientos
i5,conocimiento necesitamos vida diaria acceso a nuestro entorno como sociedad
