cod,texto
i1,seleccionar problemática planeación proyecto pda cuatro camposformativos relacionan actividades escritura reflexión lectura expresión artística
i2,cuatro camposformativos tresmomentos grafías alumno leer razonar resolver lectura expresión oral escritura
i3,fundamental todos camposformativos lograr aprendizaje alumno
i4,39lecciones plan1993 relación vincular contenido camposformativos.
i5,contenido letras palabras frases relación aprendizaje lectura escritura alumno identificar grafías
